Fold,h*,λ*,MLP Error,C*,LogReg Error,Baseline Error
1,"(64, 32)",0.0001,0.08737864077669899,100,0.18446601941747576,0.41747572815533984
2,"(128,)",0.0001,0.10679611650485432,10,0.22330097087378642,0.38834951456310685
3,"(64, 32)",0.001,0.12621359223300976,1,0.21359223300970875,0.5048543689320388
4,"(64, 32)",0.0001,0.10679611650485432,10,0.16504854368932043,0.5048543689320388
5,"(128, 64)",0.001,0.19417475728155342,100,0.21359223300970875,0.4077669902912622
6,"(64,)",0.01,0.10679611650485432,1,0.13592233009708743,0.41747572815533984
7,"(64,)",0.0001,0.09708737864077666,100,0.19417475728155342,0.4563106796116505
8,"(32,)",0.01,0.18446601941747576,1,0.23300970873786409,0.4077669902912622
9,"(32,)",0.01,0.1747572815533981,100,0.19417475728155342,0.3980582524271845
10,"(64,)",0.01,0.15533980582524276,100,0.24271844660194175,0.38834951456310685
